Barcode,BedFile
FLD0193,/home/ssg29/results/SLX-8772.Homo_sapiens.v1/BisSNP/FLD0193/SLX-8772.FLD0193.cpg.filtered.CG.chr10.bed
FLD0194,/home/ssg29/results/SLX-8772.Homo_sapiens.v1/BisSNP/FLD0194/SLX-8772.FLD0194.cpg.filtered.CG.chr10.bed
FLD0195,/home/ssg29/results/SLX-8772.Homo_sapiens.v1/BisSNP/FLD0195/SLX-8772.FLD0195.cpg.filtered.CG.chr10.bed
FLD0196,/home/ssg29/results/SLX-8772.Homo_sapiens.v1/BisSNP/FLD0196/SLX-8772.FLD0196.cpg.filtered.CG.chr10.bed
FLD0197,/home/ssg29/results/SLX-8772.Homo_sapiens.v1/BisSNP/FLD0197/SLX-8772.FLD0197.cpg.filtered.CG.chr10.bed
FLD0198,/home/ssg29/results/SLX-8772.Homo_sapiens.v1/BisSNP/FLD0198/SLX-8772.FLD0198.cpg.filtered.CG.chr10.bed
FLD0199,/home/ssg29/results/SLX-8772.Homo_sapiens.v1/BisSNP/FLD0199/SLX-8772.FLD0199.cpg.filtered.CG.chr10.bed
FLD0200,/home/ssg29/results/SLX-8772.Homo_sapiens.v1/BisSNP/FLD0200/SLX-8772.FLD0200.cpg.filtered.CG.chr10.bed
FLD0201,/home/ssg29/results/SLX-8772.Homo_sapiens.v1/BisSNP/FLD0201/SLX-8772.FLD0201.cpg.filtered.CG.chr10.bed
FLD0202,/home/ssg29/results/SLX-8772.Homo_sapiens.v1/BisSNP/FLD0202/SLX-8772.FLD0202.cpg.filtered.CG.chr10.bed
FLD0203,/home/ssg29/results/SLX-8772.Homo_sapiens.v1/BisSNP/FLD0203/SLX-8772.FLD0203.cpg.filtered.CG.chr10.bed
FLD0204,/home/ssg29/results/SLX-8772.Homo_sapiens.v1/BisSNP/FLD0204/SLX-8772.FLD0204.cpg.filtered.CG.chr10.bed
FLD0205,/home/ssg29/results/SLX-8772.Homo_sapiens.v1/BisSNP/FLD0205/SLX-8772.FLD0205.cpg.filtered.CG.chr10.bed
